Category,Content,Link,Source,Title
Politics,"In a first for the US, two Virginia schools will have their original Confederate names reinstated.",https://www.bbc.com/news/world-middle-east-68980826,BBC,Confederate names restored for two Virginia schools
Politics,The BBC's Nada Tawfik goes through the cross-examination that the former adult-film star faced in court.,https://www.bbc.com/news/world-middle-east-68980826,BBC,Trump's lawyers spar with Stormy Daniels in trial
Politics,"Rescuers unable to recover bodies immediately due to harsh conditions in ""very serious terrain"".",https://www.bbc.com/news/world-middle-east-68980826,BBC,Two skiers dead and one rescued in Utah avalanche
Politics,Roger Fortson - who was armed - was fatally shot by officers responding to a disturbance call at his home.,https://www.bbc.com/news/world-middle-east-68980826,BBC,US airman shot and killed by police in Florida
Politics,Experts say the star witness's answers were sometimes useful - and other times completely irrelevant.,https://www.bbc.com/news/world-middle-east-68980826,BBC,Where Stormy Daniels' testimony leaves the Trump trial
Politics,Madeleine Westerhout tells ex-president's trial that he liked capitals and exclamation marks.,https://www.bbc.com/news/world-middle-east-68980826,BBC,Trump's former aide tells how he dictated tweets
Politics,"In an interview with the BBC, the US Secretary of Transportation stressed the importance of the shipping channel.",https://www.bbc.com/news/world-middle-east-68980826,BBC,Buttigieg: Baltimore channel 'ready' by end of May
Politics,Former Nebraska Rep. Jeff Fortenberry faces another indictment over lies allegedly told to the FBI about an illegal campaign contribution.,https://www.bbc.com/news/world-middle-east-68980826,BBC,Ex-Nebraska lawmaker indicted again accused of lying to FBI
