Category,Content,Link,Source,Title
Sports,"The National Trust plans to plant 20,000 marsh violets, in what it says is a UK-first.",https://www.bbc.com/news/articles/cw0721l9183o,BBC,Bid to revive fortunes of rare butterfly
Sports,Forestry and Land Scotland says hundreds of hectares have been restored at a number of locations.,https://www.bbc.com/news/articles/cw0721l9183o,BBC,West Highland rainforest restoration targets passed
Sports,A project aimed at improving Lower Otter Valley in east Devon is awarded government funding.,https://www.bbc.com/news/articles/cw0721l9183o,BBC,'Heaths to sea' scheme gets funding boost
Sports,A group of volunteers say they will work with Peterborough City Council to tidy up  a neglected pub.,https://www.bbc.com/news/articles/cw0721l9183o,BBC,New lease of life for 'dumping ground' pub
Sports,Marcel was discovered in a Wolverhampton conservatory and will now live at Monkey World in Dorset.,https://www.bbc.com/news/articles/cw0721l9183o,BBC,Monkey found in woman's conservatory gets new home
Sports,A badger was found trying to follow people home from a churchyard in Bath.,https://www.bbc.com/news/articles/cw0721l9183o,BBC,Rescued badger found trying to follow people home
Sports,The Manx Wildlife Trust's work to create a Woodland Park at Ramsey Hairpin is unveiled.,https://www.bbc.com/news/articles/cw0721l9183o,BBC,"Opening of woodland a landmark day, charity says"
Sports,Oxfordshire-based packaging company uses a van with an onboard compactor to collect from businesses.,https://www.bbc.com/news/articles/cw0721l9183o,BBC,Free mobile scheme to reuse waste polythene launched
